Boroughs,Latitude,Longitude,Prop_Type,Min_Nights,Host_Listing_Cnt,Days_Available,Review_Cnt,Reviews30d,Price
Bronx,40.80011,-73.9133,PrivateRoom,21,2,291,19,0.27,60
Bronx,40.80024,-73.91422,PrivateRoom,3,1,0,59,2.93,49
Bronx,40.80074,-73.91574,PrivateRoom,3,1,354,3,0.87,50
Bronx,40.80091,-73.91449,PrivateRoom,21,2,117,18,0.36,71
Bronx,40.80143,-73.91353,EntireHome,2,3,0,12,3.5,115
Bronx,40.80247,-73.91435,EntireHome,2,1,300,157,3.29,90
Bronx,40.8027,-73.91563,EntireHome,2,3,50,14,3.89,109
Bronx,40.80273,-73.91519,EntireHome,4,3,134,11,3.4,115
Bronx,40.80408,-73.9227,EntireHome,2,1,125,6,0.8,175
Bronx,40.80461,-73.92276,PrivateRoom,3,2,248,86,1.12,60
Bronx,40.80504,-73.85327,PrivateRoom,1,1,364,1,0.1,300
Bronx,40.80554,-73.92606,EntireHome,4,2,0,89,1.52,120
Bronx,40.80626,-73.85122,PrivateRoom,7,1,64,2,0.95,40
Bronx,40.80644,-73.8518,PrivateRoom,2,1,42,37,3.29,48
Bronx,40.80652,-73.85312,EntireHome,3,1,0,1,0.09,350
Bronx,40.80689,-73.91437,EntireHome,3,1,341,4,1.67,100
Bronx,40.80707,-73.92974,EntireHome,5,1,0,1,0.41,200
Bronx,40.80726,-73.92999,PrivateRoom,2,1,0,4,0.2,50
Bronx,40.80743,-73.92971,EntireHome,5,1,5,7,0.22,115
Bronx,40.80747,-73.92766,PrivateRoom,1,1,363,11,1.53,145
Bronx,40.80762,-73.92454,EntireHome,2,1,127,110,5.01,115
Bronx,40.80769,-73.91617,EntireHome,1,1,349,40,3.54,130
Bronx,40.80772,-73.91791,PrivateRoom,1,1,21,325,5.43,53
Bronx,40.80797,-73.92865,PrivateRoom,3,1,134,8,1.29,120
Bronx,40.80807,-73.92811,EntireHome,4,1,138,1,1,140
Bronx,40.80816,-73.93176,SharedRoom,1,7,49,8,2.76,28
Bronx,40.80828,-73.9319,SharedRoom,1,8,68,4,2.18,28
Bronx,40.80838,-73.93091,SharedRoom,1,8,348,5,1.83,28
Bronx,40.8084,-73.92037,EntireHome,2,1,114,40,3.2,115
Bronx,40.80842,-73.93136,PrivateRoom,2,4,151,63,1.71,33
Bronx,40.80844,-73.92889,EntireHome,30,1,365,16,0.24,140
Bronx,40.80852,-73.9306,SharedRoom,1,8,58,6,2.25,28
Bronx,40.80856,-73.93055,SharedRoom,1,7,66,7,2.39,28
Bronx,40.80858,-73.93164,SharedRoom,1,8,329,16,6.58,28
Bronx,40.80863,-73.92121,PrivateRoom,1,4,57,34,2.08,50
Bronx,40.80866,-73.92069,PrivateRoom,5,1,0,14,0.27,45
Bronx,40.80868,-73.93015,SharedRoom,1,8,341,5,2.38,28
Bronx,40.80869,-73.9317,SharedRoom,1,8,77,4,1.62,28
Bronx,40.80872,-73.93051,PrivateRoom,2,4,144,59,1.55,49
Bronx,40.80884,-73.9302,EntireHome,2,4,136,32,0.89,139
Bronx,40.80889,-73.92028,EntireHome,21,1,12,32,1.52,125
Bronx,40.80903,-73.92143,EntireHome,3,1,198,146,3.61,125
Bronx,40.80904,-73.93037,PrivateRoom,2,1,343,66,0.89,65
Bronx,40.80906,-73.92031,EntireHome,1,1,152,11,0.81,150
Bronx,40.80924,-73.85107,EntireHome,2,1,150,33,8.05,95
Bronx,40.8094,-73.93173,SharedRoom,1,7,329,19,2.68,28
Bronx,40.80952,-73.93025,PrivateRoom,2,4,165,58,1.52,41
Bronx,40.80952,-73.93005,SharedRoom,1,7,52,18,1.72,28
Bronx,40.80958,-73.91895,PrivateRoom,1,4,31,33,3.25,120
Bronx,40.80977,-73.93038,SharedRoom,1,7,0,17,1.63,28
Bronx,40.80981,-73.92031,PrivateRoom,1,1,35,13,3.58,39
Bronx,40.80986,-73.9214,EntireHome,2,1,72,63,3.74,140
Bronx,40.80993,-73.92613,EntireHome,2,2,297,60,1.21,100
Bronx,40.80994,-73.93061,SharedRoom,1,7,75,30,2.89,28
Bronx,40.80996,-73.93172,SharedRoom,1,8,340,4,1.48,28
Bronx,40.81,-73.92654,PrivateRoom,1,1,298,42,4.63,65
Bronx,40.81005,-73.91977,PrivateRoom,1,4,58,73,3.03,40
Bronx,40.81011,-73.92166,EntireHome,3,1,269,66,4.32,125
Bronx,40.81017,-73.92266,PrivateRoom,2,1,88,2,0.21,79
Bronx,40.8102,-73.93147,SharedRoom,1,7,54,20,1.94,28
Bronx,40.81034,-73.93166,SharedRoom,2,1,0,20,0.82,165
Bronx,40.81037,-73.91946,EntireHome,2,1,0,47,2.39,65
Bronx,40.81039,-73.92478,PrivateRoom,1,1,0,1,0.07,73
Bronx,40.81049,-73.9043,PrivateRoom,2,1,0,11,0.18,79
Bronx,40.8105,-73.92507,PrivateRoom,1,2,0,282,4.66,55
Bronx,40.81055,-73.92482,PrivateRoom,1,2,6,235,3.96,55
Bronx,40.8106,-73.91667,PrivateRoom,1,1,332,16,1.42,68
Bronx,40.81072,-73.92349,EntireHome,2,1,290,26,0.82,120
Bronx,40.81072,-73.92031,PrivateRoom,1,4,76,34,3.2,55
Bronx,40.81098,-73.91814,EntireHome,2,1,74,15,2.69,65
Bronx,40.81102,-73.92778,EntireHome,4,1,4,6,0.67,81
Bronx,40.81128,-73.92399,PrivateRoom,1,1,362,23,0.27,49
Bronx,40.8113,-73.92465,PrivateRoom,3,1,360,2,0.05,65
Bronx,40.81132,-73.92037,EntireHome,3,1,220,21,3.21,115
Bronx,40.81132,-73.91715,EntireHome,2,3,51,2,0.79,159
Bronx,40.81133,-73.92356,EntireHome,5,2,4,14,0.6,100
Bronx,40.8114,-73.92747,PrivateRoom,1,2,294,51,6.48,60
Bronx,40.8115,-73.85607,EntireHome,2,1,290,98,1.93,110
Bronx,40.81161,-73.90513,PrivateRoom,1,1,164,24,2.18,35
Bronx,40.81167,-73.92729,PrivateRoom,1,2,303,42,4.68,55
Bronx,40.81177,-73.92726,PrivateRoom,1,2,319,33,3.6,60
Bronx,40.8118,-73.92263,PrivateRoom,1,1,0,9,0.43,54
Bronx,40.81192,-73.91781,EntireHome,1,1,120,51,4.17,132
Bronx,40.81192,-73.90949,PrivateRoom,3,1,0,36,0.82,64
Bronx,40.81192,-73.85334,EntireHome,1,7,339,20,0.36,155
Bronx,40.81201,-73.90823,EntireHome,2,1,96,175,5.16,100
Bronx,40.81203,-73.90779,PrivateRoom,2,1,0,3,1.53,50
Bronx,40.81214,-73.85371,EntireHome,1,7,329,16,0.51,110
Bronx,40.81217,-73.91777,PrivateRoom,2,3,315,24,0.86,41
Bronx,40.81225,-73.85502,PrivateRoom,1,7,364,4,1.09,80
Bronx,40.81227,-73.88871,PrivateRoom,30,6,325,6,0.41,37
